Nr.,Art-Nr.,EAN-Nr.,Artikel,DE Beschreibung,CN Beschreibung,Foto,EK,UVP,VK (netto),VE,Liefereinheit,"Stückzahl pro
 Umkarton",Umkartionsgröße,,,,,Gewicht,Palettengröße,,,,,"Liefereinheit
pro Palett","Liefereinheit
pro Lage",Logo,,,
113,,,CONCORD TRANSFORMER XT ,OCEAN BLUE                    ,蓝色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
114,,,CONCORD TRANSFORMER XT ,BORDEAUX RED,红色,,179.01  €,319.00  €,196.91 €,,,1,,,,,,,,,,,,15,,,,,
115,,,CONCORD TRANSFORMER XT,JUNGLE GREEN                  ,绿色（限量）,,206.00  €,339.99  €,226.60 €,,,1,,,,,,,,,,,,15,,,,,
116,,,CONCORD TRANSFORMER XT ,SWEET CURRY                   ,黄色（限量）,,206.00  €,339.99  €,226.60 €,,,1,,,,,,,,,,,,15,,,,,
117,,,CONCORD TRANSFORMER XT PRO ,MIDNIGHT BLACK                ,黑色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
118,,,CONCORD TRANSFORMER XT PRO,GRAPHITE GREY                 ,灰色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,
119,,,CONCORD TRANSFORMER XT PRO,WALNUT BROWN                  ,棕色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,
120,,,CONCORD TRANSFORMER XT PRO,BORDEAUX RED,红色,,220.00  €,399.99  €,242.00 €,,,1,,,,,,,,,,,,15,,,,,
121,,,CONCORD TRANSFORMER X-BAG,MIDNIGHT BLACK                ,黑色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,45*45*63
122,,,CONCORD TRANSFORMER X-BAG,GRAPHITE GREY                 ,灰色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
123,,,CONCORD TRANSFORMER X-BAG,COOL BEIGE                    ,米色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
124,,,CONCORD TRANSFORMER X-BAG,WALNUT BROWN                  ,棕色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
125,,,CONCORD TRANSFORMER X-BAG,ROSE PINK                     ,粉色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
126,,,CONCORD TRANSFORMER X-BAG,OCEAN BLUE                    ,蓝色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
127,,,CONCORD TRANSFORMER X-BAG,BORDEAUX RED,红色,,118.00  €,199.99  €,129.80 €,,,1,,,,,,,,,,,,15,,,,,
128,,,CONCORD TRANSFORMER X-BAG,JUNGLE GREEN                  ,绿色（限量）,,128.00  €,229.99  €,140.80 €,,,1,,,,,,,,,,,,15,,,,,
129,,,CONCORD TRANSFORMER X-BAG,SWEET CURRY                   ,黄色（限量）,,128.00  €,229.99  €,140.80 €,,,1,,,,,,,,,,,,15,,,,,
